comName,count
Queltehue de la puna,231
Comesebo negro,224
Playero pectoral,224
Petrel azulado,223
Piquero blanco,221
Bandurrilla de Arica,216
Perdiz de la puna,216
Ave fragata grande,214
Petrel de Masatierra,213
Snowy Albatross,207
Petrel de Juan Fernández,201
Chuncho del norte,200
Perdicita cordillerana,199
Bandurrilla de la puna,198
Perdiz cordillerana,198
Pato criollo,195
Faisán de collar,194
Golondrina barranquera,193
Pollito de mar rojizo,191
Tenca patagónica,191
Canastero de las quebradas,189
Yal austral,185
Negrillo,182
Petrel-paloma de pico delgado,180
Patagón,177
Bandurria de la puna,175
Matacaballos,172
Golondrina de mar chica,170
Perdiz copetona,168
Cazamoscas de pico chato,167
Pájaro amarillo,164
Picaflor azul,163
Playero de patas largas,156
Gaviotín boreal,155
Cachudito de cresta blanca,151
Golondrina grande,149
Pato criollo x Pato de collar (híbrido),147
Pitajo rojizo,147
Golondrina de mar de vientre negro,139
Fardela capirotada,135
Jilguero grande,134
Albatros de manto claro,132
Gallina ciega chica,131
Petrel de collar gris ,131
Águila pescadora,129
Perdicita austral,127
Suirirí boreal,123
Burrito negruzco,120
Petrel-paloma antártico,120
Pingüino de penacho amarillo,115
Zanate mexicano,109
Golondrina de mar Pincoya,108
Cometocino de Arica,106
Pidén austral,92
Bailarín chico pálido,91
Garza tricolor,90
Carancho negro,89
Petrel de Kermadec,88
Fardela atlántica,88
Gaviotín de pico negro,86
Becacina de la puna,85
Chirihue puneño,84
Gaviotín de Sandwich,79
Golondrina de mar de collar,79
Ave del trópico de cola roja,77
Gaviotín de San Félix,74
Gaviotín de San Ambrosio,71
Benteveo,71
Cazamoscas tijereta,71
Petrel de Masafuera,65
Ánsar común,63
Perdiz austral,62
Bailarín chico peruano,60
Gallo,60
Golondrina peruana,59
Paloma antártica,56
Mero de la puna,55
Albatros de Chatham,55
Picaflor de Juan Fernández,54
Playero occidental,53
Fardela de Pascua,53
Suirirí real,52
Fardela de dorso gris,51
Gaviota de las Galápagos,49
Ave del trópico de cola blanca,49
Becacina grande,48
Zarapito moteado,47
Petrel de Herald,47
Vencejo de chimenea,47
Fardela chica,45
Cachudito de Juan Fernández,45
Batitú,44
Yunco de los canales,44
Becacina pintada,43
Chirihue de Raimondi,42
Cacatúa ninfa,41
Golondrina de mar peruana,40
Petrel de Fénix,40
Becacina chica,40
Perdiz andina,40
Churrete austral,39
Gaviotín ártico,39
Albatros de las Antípodas/de Gibson,39
Petrel de Henderson,38
Pingüino macaroni,35
Barnacla cariblanca,34
Gaviotín apizarrado,34
Salteador de cola larga,34
Playero gris,31
Snares Penguin,30
Pingüino papúa,29
Golondrina de mar de vientre blanco,29
Vencejo de collar,29
Gaviota de capucho gris,27
Ave del trópico de pico rojo,25
Pitotoy solitario,25
Comesebo gigante,24
Green-barred Woodpecker,24
Salteador pomarino,22
Piquero de Cocos,20
Catita australiana,19
Red-tailed Comet,19
Albatros de las Galápagos,19
Cardenal,16
Huairavo de corona amarilla,16
Tagüita purpúrea,16
Zorzal chalchalero,15
Lavandera blanca,14
Petrel de alas negras,14
Pillo,13
Pingüino azul,13
Pollito de mar boreal,13
Piquero de patas rojas,13
Celestino,13
Birro común,13
Pirincho,12
Birro gris,12
Pato de alas azules,12
Cortarramas,11
Piquero de Nazca,10
Gaviota de Sabine,10
Verderón de ojos rojos,9
Golondrina parda,9
Petrel de Murphy,9
Milano tijereta,9
Pintaguá,9
Golondrina de mar de cara blanca,9
Albatros de frente blanca,8
Golondrina de mar oscura,8
Gallineta,8
Rosella elegante,7
Agapornis de Fischer,7
Ave fragata magnífica,7
Golondrina de cabeza rojiza,7
Estornino pinto,6
Cotorra de Kramer,6
Tenca castaña,6
Petrel de Kerguelen,6
Rabadilla roja,6
Monjita coronada,6
Agapornis personata,6
Aguilucho de ala rojiza,6
Pato silbón de ala blanca,6
Garcita azulada,6
Rayadito de Masafuera,5
Jabirú,5
Cazamoscas de cola corta,5
Gaviotín negro,5
Viudita negra,5
Cigüeña de cabeza pelada,5
Canario,5
Golondrina negra,5
Gaviota reidora,4
Ringed Teal,4
Gaviotín chico boreal,4
Zarapito de cola barrada,4
Golondrina de mar subantártica,4
Pavo real,4
Pato colorado euroasiático,4
Loica argentina,4
Salteador pardo,4
Charlatán,4
Gaviotín real,4
Pato mandarín,4
Rosella eximius,3
Gallina ciega peruana,3
Benteveo de vientre azufre,3
Petrel de Cook,3
Agapornis roseicollis,3
Guacamayo de frente castaña,3
Espátula,2
Golondrina de mar polinésica,2
Salteador polar,2
Paloma picazuró,2
Cotorra de cabeza roja,2
Pibí occidental,2
Corbatita de doble collar,2
Picogrueso dorado,2
Diamante mandarín,2
Petrel de las Galápagos,2
Petrel de frente blanca,2
Calancate cabeza azul,2
Pepitero,2
Blue-winged x Cinnamon Teal (hybrid),2
Albatros oscuro,2
Zorzalito de Swainson,2
African Collared-Dove,2
Piquero de patas azules,2
Aguilucho langostero,1
Benteveo rayado,1
Golondrina de mar boreal,1
Birro grande,1
Milano boreal,1
Ánsar cisnal,1
Malvasía canela,1
Pato joyuyo,1
Petrel de cuello blanco,1
Pingüino emperador,1
Cisne negro,1
Plush-crested Jay,1
Arrocero americano,1
Candelita americana,1
Pingüino antártico,1
Picaflor de garganta blanca,1
Águila negra,1
Reinita estriada,1
Petrel Atlántico,1
Fardela del Pacífico,1
Petrel gris,1
Scissor-tailed Nightjar,1
Pato crestudo,1
Huairavillo de dorso negro,1
Golondrina doméstica,1
Piranga de cara roja,1
Bolsero de Baltimore,1
Petrel de cara gris,1
Playero zarapito,1
Yunco geórgico,1
Petrel antártico,1
