speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
brnowl,Lechuza,Tyto furcata,L2773246,Mi Jardín,2025-01-01 23:58,1.0,-31.6340747,-71.1660148,True,False,True,S207596618,
bawnig1,Gallina ciega común,Systellura longirostris,L39102506,Camino A La Montaña De Llicaldad,2025-01-01 23:10,1.0,-42.4991674,-73.8440972,True,False,True,S207658512,
soulap1,Queltehue común,Vanellus chilensis,L29941023,"5504392, Calbuco CL-Región de Los Lagos -41.67946, -72.96280",2025-01-01 22:40,2.0,-41.67946,-72.962798,True,False,True,S207760921,
aupowl1,Chuncho austral,Glaucidium nana,L36135632,Tejas,2025-01-01 22:35,1.0,-33.61624,-71.619181,True,False,True,S207589164,
rulowl1,Concón,Strix rufipes,L10926853,Palos Quemados--El Melón,2025-01-01 22:00,1.0,-32.6397072,-71.272878,True,False,False,S208276861,
bkbalb,Albatros de ceja negra,Thalassarche melanophris,L39120903,Canal Sarmiento,2025-01-01 21:40,5.0,-51.269984,-74.133349,True,False,True,S207771669,
angpet1,Petrel gigante antártico,Macronectes giganteus,L39120903,Canal Sarmiento,2025-01-01 21:40,2.0,-51.269984,-74.133349,True,False,True,S207771669,
grhowl2,Tucúquere,Bubo magellanicus,L29077606,Casa campo,2025-01-01 21:38,4.0,-32.816484,-71.482008,True,False,True,S207582471,
flystd1,Quetru volador,Tachyeres patachonicus,L2887320,Parque Chabunco,2025-01-01 21:31,2.0,-52.9911014,-70.8164549,True,False,False,S207624586,
soater1,Gaviotín sudamericano,Sterna hirundinacea,L9227932,"Caleta S/N, Isla Desolación",2025-01-01 21:25,6.0,-53.4315371,-72.9168078,True,False,True,S208941140,
gregre1,Huala,Podiceps major,L9227932,"Caleta S/N, Isla Desolación",2025-01-01 21:25,1.0,-53.4315371,-72.9168078,True,False,True,S208941140,
pifshe,Fardela blanca,Ardenna creatopus,L9227932,"Caleta S/N, Isla Desolación",2025-01-01 21:25,1.0,-53.4315371,-72.9168078,True,True,True,S208941140,
manshe,Fardela atlántica,Puffinus puffinus,L9227932,"Caleta S/N, Isla Desolación",2025-01-01 21:25,1.0,-53.4315371,-72.9168078,True,False,True,S208941140,
madpet1,Yunco de Magallanes,Pelecanoides magellani,L9227932,"Caleta S/N, Isla Desolación",2025-01-01 21:25,7.0,-53.4315371,-72.9168078,True,False,True,S208941140,
bbspet1,Golondrina de mar de vientre negro,Fregetta tropica,L39087372,"Auto selected -57.90340, -65.31597",2025-01-01 21:21,1.0,-57.903397,-65.315969,True,False,True,S207589034,
blupet1,Petrel azulado,Halobaena caerulea,L39087372,"Auto selected -57.90340, -65.31597",2025-01-01 21:21,1.0,-57.903397,-65.315969,True,False,True,S207589034,
whcpet1,Petrel de barba blanca,Procellaria aequinoctialis,L39087372,"Auto selected -57.90340, -65.31597",2025-01-01 21:21,1.0,-57.903397,-65.315969,True,False,True,S207589034,
bcnher,Huairavo común,Nycticorax nycticorax,L29909914,"Cochrane 480, San Antonio CL-Región de Valparaíso (-33.5835,-71.6105)",2025-01-01 21:21,1.0,-33.583492,-71.610511,True,False,True,S207587064,
austhr1,Zorzal patagónico,Turdus falcklandii,L28983461,"42 Puesta de Sol, Las Cruces, Valparaíso, CL (-33.513, -71.599)",2025-01-01 21:18,5.0,-33.513394,-71.5986711,True,False,True,S207581509,
houspa,Gorrión,Passer domesticus,L28983461,"42 Puesta de Sol, Las Cruces, Valparaíso, CL (-33.513, -71.599)",2025-01-01 21:18,4.0,-33.513394,-71.5986711,True,False,True,S207581509,N
kelgul,Gaviota dominicana,Larus dominicanus,L5838048,"CL-Viña del Mar-Calle Lampa- -33,0283x-71,5475",2025-01-01 21:10,3.0,-33.028328,-71.547497,True,False,True,S207900929,
rucspa1,Chincol,Zonotrichia capensis,L5838048,"CL-Viña del Mar-Calle Lampa- -33,0283x-71,5475",2025-01-01 21:10,3.0,-33.028328,-71.547497,True,False,True,S207900929,
amekes,Cernícalo,Falco sparverius,L25900049,Madreselvas / Ramón Cruz,2025-01-01 21:03,1.0,-33.4853636,-70.5855572,True,False,True,S207578405,
chipig2,Torcaza,Patagioenas araucana,L19677834,"5501687, Los Muermos CL-Los Lagos -41.45826, -73.49003",2025-01-01 21:00,3.0,-41.458259,-73.490032,True,False,True,S208487492,
bkfibi1,Bandurria común,Theristicus melanopis,L19677834,"5501687, Los Muermos CL-Los Lagos -41.45826, -73.49003",2025-01-01 21:00,4.0,-41.458259,-73.490032,True,False,True,S208487492,
magwoo1,Carpintero negro,Campephilus magellanicus,L19677834,"5501687, Los Muermos CL-Los Lagos -41.45826, -73.49003",2025-01-01 21:00,2.0,-41.458259,-73.490032,True,False,True,S208487492,
y00678,Traro,Caracara plancus,L19677834,"5501687, Los Muermos CL-Los Lagos -41.45826, -73.49003",2025-01-01 21:00,1.0,-41.458259,-73.490032,True,False,True,S208487492,
chicar1,Tiuque,Daptrius chimango,L19677834,"5501687, Los Muermos CL-Los Lagos -41.45826, -73.49003",2025-01-01 21:00,1.0,-41.458259,-73.490032,True,False,True,S208487492,
bthhue1,Hued-hued del sur,Pteroptochos tarnii,L19677834,"5501687, Los Muermos CL-Los Lagos -41.45826, -73.49003",2025-01-01 21:00,1.0,-41.458259,-73.490032,True,False,True,S208487492,
chutap1,Chucao,Scelorchilus rubecula,L19677834,"5501687, Los Muermos CL-Los Lagos -41.45826, -73.49003",2025-01-01 21:00,2.0,-41.458259,-73.490032,True,False,True,S208487492,
ocftap1,Churrín de la Mocha,Eugralla paradoxa,L19677834,"5501687, Los Muermos CL-Los Lagos -41.45826, -73.49003",2025-01-01 21:00,1.0,-41.458259,-73.490032,True,False,True,S208487492,
whcela1,Fío-fío,Elaenia albiceps,L19677834,"5501687, Los Muermos CL-Los Lagos -41.45826, -73.49003",2025-01-01 21:00,1.0,-41.458259,-73.490032,True,False,True,S208487492,
chiswa1,Golondrina chilena,Tachycineta leucopyga,L19677834,"5501687, Los Muermos CL-Los Lagos -41.45826, -73.49003",2025-01-01 21:00,2.0,-41.458259,-73.490032,True,False,True,S208487492,
houwre4,Chercán común,Troglodytes musculus,L19677834,"5501687, Los Muermos CL-Los Lagos -41.45826, -73.49003",2025-01-01 21:00,1.0,-41.458259,-73.490032,True,False,True,S208487492,
chimoc1,Tenca chilena,Mimus thenca,L19677834,"5501687, Los Muermos CL-Los Lagos -41.45826, -73.49003",2025-01-01 21:00,1.0,-41.458259,-73.490032,True,False,True,S208487492,
