speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
soulap1,Queltehue común,Vanellus chilensis,L10140471,"Villa Parque Austral, Osorno, Región de los Lagos, CL (-40.586, -73.113)",2022-01-01 23:41,3.0,-40.585844,-73.1131572,True,False,True,S99916680,
bkfibi1,Bandurria común,Theristicus melanopis,L7988120,"Leñadura, Nuestra casa",2022-01-01 22:18,4.0,-53.2145727,-70.9476647,True,False,True,S100024876,
grhowl2,Tucúquere,Bubo magellanicus,L7988120,"Leñadura, Nuestra casa",2022-01-01 22:18,1.0,-53.2145727,-70.9476647,True,False,True,S100024876,
austhr1,Zorzal patagónico,Turdus falcklandii,L7988120,"Leñadura, Nuestra casa",2022-01-01 22:18,1.0,-53.2145727,-70.9476647,True,False,True,S100024876,
rucspa1,Chincol,Zonotrichia capensis,L7988120,"Leñadura, Nuestra casa",2022-01-01 22:18,2.0,-53.2145727,-70.9476647,True,False,True,S100024876,
aupowl1,Chuncho austral,Glaucidium nana,L17286565,"2065 Tucapel, La Pintana, Región Metropolitana, CL (-33.589, -70.648)",2022-01-01 21:25,1.0,-33.5887633,-70.6475923,True,False,True,S99884664,
burpar,Tricahue,Cyanoliseus patagonus,L9439970,Laguna Desagüe El Colorado,2022-01-01 21:18,50.0,-35.6490013,-71.2784384,True,False,False,S101402782,
redsho1,Pato cuchara,Spatula platalea,L1819549,SN Humedales de Tongoy--Salinas Chicas,2022-01-01 21:12,1.0,-30.2828485,-71.5062434,True,False,False,S99883707,
regcoo1,Tagua común,Fulica armillata,L1819549,SN Humedales de Tongoy--Salinas Chicas,2022-01-01 21:12,10.0,-30.2828485,-71.5062434,True,False,False,S99883707,
ameoys,Pilpilén común,Haematopus palliatus,L1819549,SN Humedales de Tongoy--Salinas Chicas,2022-01-01 21:12,7.0,-30.2828485,-71.5062434,True,False,False,S99883707,
