speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
austhr1,Zorzal patagónico,Turdus falcklandii,L24841596,"Orompeyo Serrano 1300, San Felipe CL-Valparaíso -32.75532, -70.70912",2024-01-01 23:29,2.0,-32.755323,-70.70912,True,False,True,S157809397,
rulowl1,Concón,Strix rufipes,L21849298,Cabaña JP VIVAR,2024-01-01 23:03,1.0,-42.850522,-72.7947475,True,False,True,S157808307,
brnowl,Lechuza,Tyto furcata,L3091169,Freirina,2024-01-01 22:00,1.0,-28.5099277,-71.0807276,True,False,False,S158228557,
bkfibi1,Bandurria común,Theristicus melanopis,L3568095,PN Torres del Paine--Camping Los Cuernos,2024-01-01 21:53,4.0,-51.0237164,-72.9852194,True,False,False,S214345682,
kelgul,Gaviota dominicana,Larus dominicanus,L28577503,Quincho Mirador,2024-01-01 21:44,3.0,-41.542785,-72.7504917,True,False,True,S157800900,
chicar1,Tiuque,Daptrius chimango,L28577503,Quincho Mirador,2024-01-01 21:44,2.0,-41.542785,-72.7504917,True,False,True,S157800900,
whcela1,Fío-fío,Elaenia albiceps,L28577503,Quincho Mirador,2024-01-01 21:44,1.0,-41.542785,-72.7504917,True,False,True,S157800900,
houwre4,Chercán común,Troglodytes musculus,L28577503,Quincho Mirador,2024-01-01 21:44,1.0,-41.542785,-72.7504917,True,False,True,S157800900,
cosswa1,Cisne coscoroba,Coscoroba coscoroba,L2297155,Humedal el Membrillo,2024-01-01 21:23,5.0,-33.3443051,-71.6503978,True,False,False,S157807920,
regcoo1,Tagua común,Fulica armillata,L2297155,Humedal el Membrillo,2024-01-01 21:23,4.0,-33.3443051,-71.6503978,True,False,False,S157807920,
ameoys,Pilpilén común,Haematopus palliatus,L2297155,Humedal el Membrillo,2024-01-01 21:23,22.0,-33.3443051,-71.6503978,True,False,False,S157807920,
whimbr,Zarapito común,Numenius phaeopus,L2297155,Humedal el Membrillo,2024-01-01 21:23,36.0,-33.3443051,-71.6503978,True,False,False,S157807920,
sander,Playero blanco,Calidris alba,L2297155,Humedal el Membrillo,2024-01-01 21:23,97.0,-33.3443051,-71.6503978,True,False,False,S157807920,
brhgul2,Gaviota cáhuil,Chroicocephalus maculipennis,L2297155,Humedal el Membrillo,2024-01-01 21:23,1.0,-33.3443051,-71.6503978,True,False,False,S157807920,
fragul,Gaviota de Franklin,Leucophaeus pipixcan,L2297155,Humedal el Membrillo,2024-01-01 21:23,2.0,-33.3443051,-71.6503978,True,False,False,S157807920,
neocor,Yeco,Nannopterum brasilianum,L2297155,Humedal el Membrillo,2024-01-01 21:23,1.0,-33.3443051,-71.6503978,True,False,False,S157807920,
snoegr,Garza chica,Egretta thula,L2297155,Humedal el Membrillo,2024-01-01 21:23,1.0,-33.3443051,-71.6503978,True,False,False,S157807920,
perpel1,Pelícano de Humboldt,Pelecanus thagus,L2297155,Humedal el Membrillo,2024-01-01 21:23,14.0,-33.3443051,-71.6503978,True,False,False,S157807920,
chiswa1,Golondrina chilena,Tachycineta leucopyga,L2297155,Humedal el Membrillo,2024-01-01 21:23,1.0,-33.3443051,-71.6503978,True,False,False,S157807920,
bawswa1,Golondrina de dorso negro,Pygochelidon cyanoleuca,L2297155,Humedal el Membrillo,2024-01-01 21:23,2.0,-33.3443051,-71.6503978,True,False,False,S157807920,
blnswa2,Cisne de cuello negro,Cygnus melancoryphus,L12050676,Laguna Recamo y Redacamo,2024-01-01 21:17,5.0,-36.7300526,-73.1076598,True,False,False,S157807415,
yebpin1,Pato jergón grande,Anas georgica,L12050676,Laguna Recamo y Redacamo,2024-01-01 21:17,8.0,-36.7300526,-73.1076598,True,False,False,S157807415,
whtgre3,Pimpollo común,Rollandia rolland,L12050676,Laguna Recamo y Redacamo,2024-01-01 21:17,1.0,-36.7300526,-73.1076598,True,False,False,S157807415,
flystd1,Quetru volador,Tachyeres patachonicus,L13791912,Barranco Amarillo desemb. costa,2024-01-01 21:10,2.0,-53.1041073,-70.8795784,True,False,True,S157831697,
creduc1,Pato juarjual,Lophonetta specularioides,L13791912,Barranco Amarillo desemb. costa,2024-01-01 21:10,4.0,-53.1041073,-70.8795784,True,False,True,S157831697,
magoys1,Pilpilén austral,Haematopus leucopodus,L13791912,Barranco Amarillo desemb. costa,2024-01-01 21:10,2.0,-53.1041073,-70.8795784,True,False,True,S157831697,
